0:   (1+0j)
391:   (0.9936155747402083+0j)
392:   (0.9905006761301528+0j)
393:   (0.9863813635216157+0j)
394:   (0.9803450848231203+0j)
395:   (0.9756159910062217+0j)
396:   (0.9980524981082632+0j)
397:   (0.9936551533314466+0j)
398:   (0.9877844519856358+0j)
399:   (0.9854574808499483+0j)
400:   (0.9828959363703823+0j)
401:   (0.995994572587035+0j)
402:   (0.9903024729666826+0j)
403:   (0.9862285501160926+0j)
404:   (0.9796987870954962+0j)
405:   (0.9739738375965056+0j)
406:   (0.9936857925374896+0j)
407:   (0.9889980902022791+0j)
408:   (0.98811531922901+0j)
409:   (0.985674659661516+0j)
410:   (0.9880764794050233+0j)
411:   (0.9962204613266906+0j)
412:   (0.9952002565071078+0j)
413:   (0.9879113979734715+0j)
414:   (0.9849664099713065+0j)
415:   (0.98339289032376+0j)
416:   (0.9931046246525327+0j)
417:   (0.9882361051335001+0j)
418:   (0.9808867453555455+0j)
419:   (0.9751801246520401+0j)
420:   (0.9681674465622874+0j)
421:   (0.9948804516594854+0j)
422:   (0.9928339687737578+0j)
423:   (0.9888680263318412+0j)
424:   (0.9830812961217376+0j)
425:   (0.9778473929586954+0j)
426:   (0.9939052551307257+0j)
427:   (0.9875876991946451+0j)
428:   (0.9870573806174131+0j)
429:   (0.981457849643452+0j)
430:   (0.978398193654239+0j)
431:   (0.9928625924049216+0j)
432:   (0.9868113654237839+0j)
433:   (0.9835487650317879+0j)
434:   (0.978060645372514+0j)
435:   (0.9731670015965465+0j)
436:   (0.9873901919038934+0j)
437:   (0.98594819788272+0j)
438:   (0.9837466049691476+0j)
439:   (0.9814267155605629+0j)
440:   (0.9781967063255096+0j)
441:   (0.9950427101047685+0j)
442:   (0.9915266172995493+0j)
443:   (0.9889089067900154+0j)
444:   (0.9869324461323888+0j)
445:   (0.9830106683179156+0j)
446:   (0.996015791669395+0j)
447:   (0.9863754023107735+0j)
448:   (0.9844542887287869+0j)
449:   (0.9798425190659612+0j)
450:   (0.9724503450850208+0j)
451:   (0.9934810775424037+0j)
452:   (0.9910317164805938+0j)
453:   (0.9830103742372389+0j)
454:   (0.9784167840066307+0j)
455:   (0.9702642699910516+0j)
456:   (0.9978963039238113+0j)
457:   (0.9943578706813715+0j)
458:   (0.9938957955389822+0j)
459:   (0.9897215057777187+0j)
460:   (0.9844184400644241+0j)
461:   (0.99334206422139+0j)
462:   (0.9895549488348067+0j)
463:   (0.9845167188611884+0j)
464:   (0.9806202009800968+0j)
465:   (0.9775355381815279+0j)
466:   (1.0013887026633728+0j)
467:   (0.9952872796827076+0j)
468:   (0.9938054176542188+0j)
469:   (0.9908069442251171+0j)
470:   (0.9842718102867934+0j)
471:   (0.9899149301019172+0j)
472:   (0.9833064247621914+0j)
473:   (0.9773972359672752+0j)
474:   (0.9702973487089204+0j)
475:   (0.9638829939417397+0j)
476:   (0.9983115504623523+0j)
477:   (0.9987066309925686+0j)
478:   (0.9879113711317599+0j)
479:   (0.9842788042851923+0j)
480:   (0.9802365309775853+0j)
481:   (0.9917807861633616+0j)
482:   (0.9900590737496129+0j)
483:   (0.9847499795036224+0j)
484:   (0.9800970882371066+0j)
485:   (0.969887629768109+0j)
486:   (0.9991451056408253+0j)
487:   (1.001557708196396+0j)
488:   (0.9973511764002325+0j)
489:   (0.9918783143164309+0j)
490:   (0.9924553960301901+0j)
491:   (0.9947486409166424+0j)
492:   (0.9911865567131193+0j)
493:   (0.9863352357389001+0j)
494:   (0.9800895918961333+0j)
495:   (0.9757230045285249+0j)
496:   (0.9885013792646044+0j)
497:   (0.9847969571237314+0j)
498:   (0.9717803156054567+0j)
499:   (0.9658505495151856+0j)
500:   (0.9632108132624092+0j)
501:   (0.9912070517870405+0j)
502:   (0.9803136262645676+0j)
503:   (0.9810857535111353+0j)
504:   (0.9764799959373629+0j)
505:   (0.9733150371240077+0j)
506:   (0.9916250899585592+0j)
507:   (0.9865526786031235+0j)
508:   (0.9830697659651778+0j)
509:   (0.9751253989959483+0j)
510:   (0.969135862762404+0j)
511:   (0.9938459713082748+0j)
512:   (0.9840551950506661+0j)
513:   (0.9776197630353551+0j)
514:   (0.9750664396011893+0j)
515:   (0.9681491090836107+0j)
516:   (0.9918313231828365+0j)
517:   (0.992393767915514+0j)
518:   (0.989291540589824+0j)
519:   (0.9883874358003538+0j)
520:   (0.9849870370929668+0j)
521:   (0.9972702594277583+0j)
522:   (0.9947149436894492+0j)
523:   (0.9877442388940563+0j)
524:   (0.9801795149709731+0j)
525:   (0.9778826471157508+0j)
526:   (0.9939643072098375+0j)
527:   (0.9892543809315802+0j)
528:   (0.9844064090468978+0j)
529:   (0.9801483279738873+0j)
530:   (0.9826104286221912+0j)
531:   (0.9957733700607971+0j)
532:   (0.9899966641266804+0j)
533:   (0.9819193596451963+0j)
534:   (0.9780266973631211+0j)
535:   (0.9739895364939237+0j)
536:   (0.9957624055569507+0j)
537:   (0.9881133127975233+0j)
538:   (0.987415067429683+0j)
539:   (0.986288072035796+0j)
540:   (0.9833337706387988+0j)
541:   (0.9969072614857878+0j)
542:   (0.9923544737069151+0j)
543:   (0.9889942934282355+0j)
544:   (0.983007157601579+0j)
545:   (0.982119755006771+0j)
546:   (0.9980734175266475+0j)
547:   (0.9950803804070139+0j)
548:   (0.9915380450962094+0j)
549:   (0.9872438274260025+0j)
550:   (0.9820636830325852+0j)
551:   (0.99662312507282+0j)
552:   (0.9942272687530727+0j)
553:   (0.9924430028376735+0j)
554:   (0.9842725962761202+0j)
555:   (0.984318545587541+0j)
556:   (0.9968400473673981+0j)
557:   (0.9952955166808065+0j)
558:   (0.9962947419722562+0j)
559:   (0.9868019449098006+0j)
560:   (0.9806926010734239+0j)
561:   (0.9977389191291423+0j)
562:   (0.996929811521275+0j)
563:   (0.9900410899852383+0j)
564:   (0.9836399551434527+0j)
565:   (0.9777551318439173+0j)
566:   (0.9973167035037005+0j)
567:   (0.990058719235309+0j)
568:   (0.9864910251699701+0j)
569:   (0.9942522375936501+0j)
570:   (0.9896609457929297+0j)
571:   (0.9957879478021237+0j)
572:   (0.9877701940484239+0j)
573:   (0.9790052489871484+0j)
574:   (0.9765510570470249+0j)
575:   (0.9745378976264657+0j)
576:   (0.9949772920115098+0j)
577:   (0.9940633606042603+0j)
578:   (0.9881503649376745+0j)
579:   (0.9818098829304559+0j)
580:   (0.9761671105207561+0j)
581:   (0.9910245106613325+0j)
582:   (0.9874494488808359+0j)
583:   (0.9855530778073487+0j)
584:   (0.979223962727949+0j)
585:   (0.9769124733629142+0j)
586:   (0.9973764507111627+0j)
587:   (0.9921224336950186+0j)
588:   (0.9852905731937595+0j)
589:   (0.9792593046020002+0j)
590:   (0.9710083574900661+0j)
591:   (0.9942998017439575+0j)
592:   (0.9895539578327832+0j)
593:   (0.983134727710442+0j)
594:   (0.9824325943661677+0j)
595:   (0.9804421603270885+0j)
596:   (0.9948264102254538+0j)
597:   (0.9917937213547696+0j)
598:   (0.9900637288094205+0j)
599:   (0.9843985708325034+0j)
600:   (0.9837053346251766+0j)
601:   (0.9964343462284245+0j)
602:   (0.991198082208037+0j)
603:   (0.9865222008376612+0j)
604:   (0.9842071956507099+0j)
605:   (0.9830769275435541+0j)
606:   (0.9980585469097044+0j)
607:   (0.9918458562926022+0j)
608:   (0.9871228079271268+0j)
609:   (0.9811879576482576+0j)
610:   (0.9849615540471505+0j)
611:   (0.9927653394992374+0j)
612:   (0.9873978092376376+0j)
613:   (0.9817347395506055+0j)
614:   (0.9783191479036871+0j)
615:   (0.9728991471727234+0j)
616:   (0.9924674516729706+0j)
617:   (0.9861457041523175+0j)
618:   (0.9783992694544392+0j)
619:   (0.9732360092115082+0j)
620:   (0.963119780790817+0j)
621:   (0.995672071576989+0j)
622:   (0.9922408127848334+0j)
623:   (0.9873335037092932+0j)
624:   (0.9839529444257121+0j)
625:   (0.9791343554681754+0j)
626:   (0.9909102224473056+0j)
627:   (0.9820097405163314+0j)
628:   (0.9780524273534404+0j)
629:   (0.9745268286756598+0j)
630:   (0.9713823585207668+0j)
631:   (1.0003998629194502+0j)
632:   (0.9985876085434005+0j)
633:   (0.9895431538594827+0j)
634:   (0.9823517184886069+0j)
635:   (0.9756568436455252+0j)
636:   (1.0029172973870757+0j)
637:   (0.9989020528120871+0j)
638:   (0.9938097972106938+0j)
639:   (0.9908163291789225+0j)
640:   (0.9853772694776817+0j)
641:   (0.9968214882103728+0j)
642:   (0.9958957303520087+0j)
643:   (0.9912747420212012+0j)
644:   (0.9883842820119567+0j)
645:   (0.9854509454608945+0j)
646:   (0.997177074961472+0j)
647:   (0.9922257710820728+0j)
648:   (0.9897867239262705+0j)
649:   (0.9872608610455643+0j)
650:   (0.9845880831704763+0j)
651:   (0.9985587814343246+0j)
652:   (0.9916856893745032+0j)
653:   (0.9906892334636513+0j)
654:   (0.9907353695272775+0j)
655:   (0.9883929928411863+0j)
656:   (0.9938018428141356+0j)
657:   (0.9925341027626073+0j)
658:   (0.987479319446763+0j)
659:   (0.9806152624223525+0j)
660:   (0.9752501291375811+0j)
661:   (0.9954503802925871+0j)
662:   (0.9906675498903617+0j)
663:   (0.9934009035578015+0j)
664:   (0.9885097583884008+0j)
665:   (0.981526152534771+0j)
666:   (0.9978938885131462+0j)
667:   (0.9912294593780484+0j)
668:   (0.983551996389496+0j)
669:   (0.9773468181437727+0j)
670:   (0.9703769436739961+0j)
671:   (0.9965547000652123+0j)
672:   (0.9905784078238392+0j)
673:   (0.9851877168436232+0j)
674:   (0.9812080242088285+0j)
675:   (0.9756229750996276+0j)
676:   (1.0021223797174408+0j)
677:   (0.9971727445781475+0j)
678:   (0.9922926529720335+0j)
679:   (0.985713766495141+0j)
680:   (0.9878320803844445+0j)
681:   (1.0000315056406026+0j)
682:   (0.9920443601097636+0j)
683:   (0.9863354680961971+0j)
684:   (0.981595695462375+0j)
685:   (0.9743962127554544+0j)
686:   (0.9953311819736625+0j)
687:   (0.9897420197052363+0j)
688:   (0.9858127708007132+0j)
689:   (0.978743232446515+0j)
690:   (0.9718782374861578+0j)
691:   (0.9964604073565546+0j)
692:   (0.990257292805018+0j)
693:   (0.9848465786074333+0j)
694:   (0.9819579612525443+0j)
695:   (0.981367559782281+0j)
696:   (0.9977257554717912+0j)
697:   (0.9903912911366052+0j)
698:   (0.9891382821437646+0j)
699:   (0.9832800333726635+0j)
700:   (0.9796661483121436+0j)
701:   (0.9943936297026345+0j)
702:   (0.991134455970036+0j)
703:   (0.9843762849326371+0j)
704:   (0.980901407812005+0j)
705:   (0.9750246805282794+0j)
706:   (1.0005734401554602+0j)
707:   (0.9981918178831649+0j)
708:   (0.9930955346170843+0j)
709:   (0.9879669291145083+0j)
710:   (0.9834428715985177+0j)
711:   (0.9968875567653004+0j)
712:   (0.9921809931005365+0j)
713:   (0.9871190673459445+0j)
714:   (0.9851386528796513+0j)
715:   (0.9838149629128213+0j)
716:   (0.9948259899848693+0j)
