0:   (1+0j)
562:   (0.9984837457785659+0j)
563:   (0.9981467392607765+0j)
564:   (0.9974477544459882+0j)
565:   (0.9966086498509981+0j)
566:   (0.9954249639782047+0j)
567:   (0.9945091281322539+0j)
568:   (0.9942420471536302+0j)
569:   (0.9940321674788661+0j)
570:   (0.993870169496972+0j)
571:   (0.9996807762009098+0j)
572:   (0.9987701572711334+0j)
573:   (0.9981113774559847+0j)
574:   (0.9971526978028078+0j)
575:   (0.9958478910709504+0j)
576:   (0.9952746603760382+0j)
577:   (0.9943318325798223+0j)
578:   (0.9936787366129772+0j)
579:   (0.9930752125763472+0j)
580:   (0.9924437407813834+0j)
581:   (0.9990289140336659+0j)
582:   (0.9976132950289301+0j)
583:   (0.9969527885821559+0j)
584:   (0.9962745683134326+0j)
585:   (0.9955998538681894+0j)
586:   (0.9957824881792702+0j)
587:   (0.9945234305688644+0j)
588:   (0.9942040284789282+0j)
589:   (0.9933075716327586+0j)
590:   (0.9925047295617277+0j)
591:   (0.999106622170784+0j)
592:   (0.9983244067364527+0j)
593:   (0.9979045598866438+0j)
594:   (0.9973198029853879+0j)
595:   (0.9963072863921708+0j)
596:   (0.9957492424338468+0j)
597:   (0.9953813633845898+0j)
598:   (0.9947383401649957+0j)
599:   (0.9938805809736331+0j)
600:   (0.9937497112487008+0j)
601:   (0.9992015388271114+0j)
602:   (0.9985257521926556+0j)
603:   (0.9980383906737236+0j)
604:   (0.997124046828613+0j)
605:   (0.9964590665761175+0j)
606:   (0.9955585358609493+0j)
607:   (0.9952781238807914+0j)
608:   (0.9947407330621377+0j)
609:   (0.9941352370578644+0j)
610:   (0.9938226479992804+0j)
611:   (0.9995287735681873+0j)
612:   (0.9987822174563731+0j)
613:   (0.9974624938288362+0j)
614:   (0.9970103521639447+0j)
615:   (0.9951072480342137+0j)
616:   (0.9936672251301794+0j)
617:   (0.9932752294060733+0j)
618:   (0.9928516613390487+0j)
619:   (0.9919589267514153+0j)
620:   (0.9913575964017068+0j)
621:   (0.9992196944361402+0j)
622:   (0.9979835631915009+0j)
623:   (0.9979738387492263+0j)
624:   (0.9971774114166652+0j)
625:   (0.9964877026716882+0j)
626:   (0.9956117044499705+0j)
627:   (0.9946003056602299+0j)
628:   (0.9937875179805715+0j)
629:   (0.9930986251386323+0j)
630:   (0.9927768108597558+0j)
631:   (0.9991759653474762+0j)
632:   (0.9988516866330336+0j)
633:   (0.9979953940804693+0j)
634:   (0.9971829789195288+0j)
635:   (0.9966796832796332+0j)
636:   (0.9962222980733438+0j)
637:   (0.9955588359964807+0j)
638:   (0.9947056607819483+0j)
639:   (0.9945764748077459+0j)
640:   (0.9935647291295868+0j)
641:   (0.9991453008158196+0j)
642:   (0.9987609899513937+0j)
643:   (0.9979305229645574+0j)
644:   (0.9970446937752652+0j)
645:   (0.9962554347189437+0j)
646:   (0.9951896230893464+0j)
647:   (0.9943743194152111+0j)
648:   (0.9936574765845032+0j)
649:   (0.9927938165311855+0j)
650:   (0.9916842907018568+0j)
651:   (0.9998293066382796+0j)
652:   (0.9989245798584578+0j)
653:   (0.9984495266863734+0j)
654:   (0.9985228946461366+0j)
655:   (0.9980750295145275+0j)
656:   (0.9981839637744817+0j)
657:   (0.997113691039466+0j)
658:   (0.995962106078149+0j)
659:   (0.9955673674496104+0j)
660:   (0.9946621599159617+0j)
661:   (0.9990319461426148+0j)
662:   (0.9982166030367714+0j)
663:   (0.9969235635804059+0j)
664:   (0.9964282985791243+0j)
665:   (0.995331040595343+0j)
666:   (0.9946709556333625+0j)
667:   (0.9939270188139336+0j)
668:   (0.9930514211727207+0j)
669:   (0.992346922445234+0j)
670:   (0.9910783783068887+0j)
671:   (0.9995150931663418+0j)
672:   (0.9988748409759018+0j)
673:   (0.9978922561030138+0j)
674:   (0.997251486001177+0j)
675:   (0.9960974229915914+0j)
676:   (0.9948411351771937+0j)
677:   (0.9940122185080115+0j)
678:   (0.9937196508987614+0j)
679:   (0.9925583678738646+0j)
680:   (0.9916358511628309+0j)
681:   (0.999149983790473+0j)
682:   (0.9977895189805224+0j)
683:   (0.9966425507158437+0j)
684:   (0.9963948160782513+0j)
685:   (0.9950901642870663+0j)
686:   (0.9946738679758933+0j)
687:   (0.9941447588740662+0j)
688:   (0.9930842004283529+0j)
689:   (0.9919006603963191+0j)
690:   (0.9917173831493872+0j)
691:   (0.9994776128620375+0j)
692:   (0.9989877851136516+0j)
693:   (0.9981006169274597+0j)
694:   (0.9979355117203568+0j)
695:   (0.9968654911504271+0j)
696:   (0.9964113055727365+0j)
697:   (0.9951816585062274+0j)
698:   (0.9947841845718992+0j)
699:   (0.994176984075902+0j)
700:   (0.993934227504255+0j)
701:   (1.0000048708885863+0j)
702:   (0.9999359092563264+0j)
703:   (0.9994232104878511+0j)
704:   (0.9990016189274993+0j)
705:   (0.9985174117915785+0j)
706:   (0.9978952277177243+0j)
707:   (0.9971736007786604+0j)
708:   (0.9966708138912943+0j)
709:   (0.995939768904002+0j)
710:   (0.9947852760078456+0j)
711:   (0.9997007624558722+0j)
712:   (0.9994048906685038+0j)
713:   (0.9984993540840059+0j)
714:   (0.9983086286999786+0j)
715:   (0.996996055772072+0j)
716:   (0.9967592538358706+0j)
717:   (0.994906318592955+0j)
718:   (0.9907449018938472+0j)
719:   (0.9903442948840634+0j)
720:   (0.9901214269518736+0j)
721:   (0.9997018212015308+0j)
722:   (0.9986365147172103+0j)
723:   (0.9989400139152477+0j)
724:   (0.9980667307747192+0j)
725:   (0.997338357348818+0j)
726:   (0.9960758320801113+0j)
727:   (0.9954032241826265+0j)
728:   (0.9951669636198208+0j)
729:   (0.9943633875554017+0j)
730:   (0.9937036979833097+0j)
731:   (0.9995225653098615+0j)
732:   (0.9989531927148717+0j)
733:   (0.9978500517071792+0j)
734:   (0.9965569281018932+0j)
735:   (0.9955977665447171+0j)
736:   (0.9948163396496543+0j)
737:   (0.9939727358402886+0j)
738:   (0.99315964760099+0j)
739:   (0.9920948280473275+0j)
740:   (0.9917237071108447+0j)
741:   (0.999255621792233+0j)
742:   (0.9984262863533275+0j)
743:   (0.9978730569580759+0j)
744:   (0.9973137570686106+0j)
745:   (0.9967703937289778+0j)
746:   (0.9963540070142574+0j)
747:   (0.9953413584281645+0j)
748:   (0.9954789536713686+0j)
749:   (0.9940585552972069+0j)
750:   (0.993998629819979+0j)
751:   (0.9990374075601276+0j)
752:   (0.9985257548597771+0j)
753:   (0.9983055738723934+0j)
754:   (0.99701436110077+0j)
755:   (0.9971588061779244+0j)
756:   (0.9968484154462293+0j)
757:   (0.9952193792289251+0j)
758:   (0.9948691667979257+0j)
759:   (0.9936168884775602+0j)
760:   (0.9923110604086615+0j)
761:   (0.9997000243084772+0j)
762:   (0.9992981801360253+0j)
763:   (0.9983438231558115+0j)
764:   (0.9977940934382139+0j)
765:   (0.9966818934108262+0j)
766:   (0.9960637842675786+0j)
767:   (0.9954934725131707+0j)
768:   (0.9942193674036943+0j)
769:   (0.9930506084159965+0j)
770:   (0.9918285290964096+0j)
771:   (0.999667539032224+0j)
772:   (0.9996080765513782+0j)
773:   (0.9994510002386471+0j)
774:   (0.9993116540699379+0j)
775:   (0.9984000833872683+0j)
776:   (0.9979370533766366+0j)
777:   (0.9973723431340233+0j)
778:   (0.9963173418138009+0j)
779:   (0.9962689505122939+0j)
780:   (0.9958051949809773+0j)
781:   (0.9996220189308874+0j)
782:   (0.9986377233170795+0j)
783:   (0.9981530465124429+0j)
784:   (0.9973206250715514+0j)
785:   (0.9964374395288633+0j)
786:   (0.9953019520947919+0j)
787:   (0.9946019850844063+0j)
788:   (0.9939377140597878+0j)
789:   (0.9929448823529197+0j)
790:   (0.9919093235563244+0j)
